测试误差,训练误差,类型,b_m,d,n
0.70751393534,0.760067114094,平均加权,2,2,300
0.691237458194,0.746644295302,分数匹配加权,2,2,300
0.670523968785,0.669463087248,平均加权,2,2,300
0.652441471572,0.676174496644,分数匹配加权,2,2,300
0.628762541806,0.669463087248,平均加权,2,2,300
0.630680044593,0.659395973154,分数匹配加权,2,2,300
0.59525083612,0.587248322148,平均加权,2,2,300
0.509030100334,0.473154362416,分数匹配加权,2,2,300
0.657926421405,0.644295302013,平均加权,2,2,300
0.675273132664,0.595637583893,分数匹配加权,2,2,300
0.672530657748,0.652684563758,平均加权,2,2,300
0.612508361204,0.612416107383,分数匹配加权,2,2,300
0.670657748049,0.629194630872,平均加权,2,2,300
0.634894091416,0.640939597315,分数匹配加权,2,2,300
0.494225195095,0.538590604027,平均加权,2,2,300
0.494225195095,0.538590604027,分数匹配加权,2,2,300
0.600089186176,0.61744966443,平均加权,2,2,300
0.577614269788,0.627516778523,分数匹配加权,2,2,300
0.478461538462,0.55033557047,平均加权,2,2,300
0.521538461538,0.44966442953,分数匹配加权,2,2,300
0.565908584169,0.552013422819,平均加权,2,2,300
0.555072463768,0.488255033557,分数匹配加权,2,2,300
0.685574136009,0.664429530201,平均加权,2,2,300
0.688762541806,0.66610738255,分数匹配加权,2,2,300
0.677413600892,0.781879194631,平均加权,2,2,300
0.699219620959,0.753355704698,分数匹配加权,2,2,300
0.656856187291,0.647651006711,平均加权,2,2,300
0.587224080268,0.565436241611,分数匹配加权,2,2,300
0.754403567447,0.723154362416,平均加权,2,2,300
0.760379041249,0.721476510067,分数匹配加权,2,2,300
0.551884057971,0.568791946309,平均加权,2,2,300
0.571884057971,0.543624161074,分数匹配加权,2,2,300
0.644258639911,0.684563758389,平均加权,2,2,300
0.647335562988,0.662751677852,分数匹配加权,2,2,300
0.579241917503,0.630872483221,平均加权,2,2,300
0.513355629877,0.511744966443,分数匹配加权,2,2,300
0.72530657748,0.78355704698,平均加权,2,2,300
